title,author,rating,image,url
미스테리 게임,고경빈,9.76,https://image-comic.pstatic.net/webtoon/770386/thumbnail/thumbnail_IMAG21_3619032839374398520.jpg,/webtoon/list?titleId=770386
유니버스 000,고경빈,9.81,https://image-comic.pstatic.net/webtoon/770387/thumbnail/thumbnail_IMAG21_4122544516189140838.jpg,/webtoon/list?titleId=770387
바이러스X,준 / 하랑,7.25,https://image-comic.pstatic.net/webtoon/754781/thumbnail/thumbnail_IMAG21_3703137988489850978.jpg,/webtoon/list?titleId=754781
민간인 통제구역,OSIK,9.96,https://image-comic.pstatic.net/webtoon/737377/thumbnail/thumbnail_IMAG21_3558744430685151844.jpg,/webtoon/list?titleId=737377
꼬리 있는 연애,진하 / 헤폰,9.93,https://image-comic.pstatic.net/webtoon/741894/thumbnail/thumbnail_IMAG21_3474354704848664673.jpg,/webtoon/list?titleId=741894
전자오락수호대,가스파드,9.97,https://image-comic.pstatic.net/webtoon/637931/thumbnail/thumbnail_IMAG21_7233965413470910771.jpg,/webtoon/list?titleId=637931
필살VS로맨스,구르,9.97,https://image-comic.pstatic.net/webtoon/745207/thumbnail/thumbnail_IMAG21_3630798738281750884.jpg,/webtoon/list?titleId=745207
혼신,임리나,9.86,https://image-comic.pstatic.net/webtoon/769688/thumbnail/thumbnail_IMAG21_7365692394708493360.JPEG,/webtoon/list?titleId=769688
그 해 여름,김현,9.94,https://image-comic.pstatic.net/webtoon/772235/thumbnail/thumbnail_IMAG21_3761972859165356595.jpg,/webtoon/list?titleId=772235
인어를 위한 수영교실,용찬,9.97,https://image-comic.pstatic.net/webtoon/728900/thumbnail/thumbnail_IMAG21_7018357750268977509.jpg,/webtoon/list?titleId=728900
도롱이,사이사,9.97,https://image-comic.pstatic.net/webtoon/737839/thumbnail/thumbnail_IMAG21_7219378175539098166.jpg,/webtoon/list?titleId=737839
고수,류기운 / 문정후,9.97,https://image-comic.pstatic.net/webtoon/662774/thumbnail/thumbnail_IMAG21_3618421729916171318.jpg,/webtoon/list?titleId=662774
